531921213948673
1 -1 -1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948675
1 1 -1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948677
1 -1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948679
1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948681
1 -1 -1 1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948683
1 1 -1 1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948685
1 -1 1 1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948687
1 1 1 1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948689
1 -1 -1 -1 1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948691
1 1 -1 -1 1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948693
1 -1 1 -1 1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948695
1 1 1 -1 1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948697
1 -1 -1 1 1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948699
1 1 -1 1 1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948701
1 -1 1 1 1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948703
1 1 1 1 1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 1 1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 
-1 -1 -1 1 1 1 1 

531921213948705
