34401
1 -1 -1 -1 
-1 1 1 -1 
-1 1 1 -1 
-1 -1 -1 1 

34403
1 1 -1 -1 
-1 1 1 -1 
-1 1 1 -1 
-1 -1 -1 1 

34405
1 -1 1 -1 
-1 1 1 -1 
-1 1 1 -1 
-1 -1 -1 1 

34407
1 1 1 -1 
-1 1 1 -1 
-1 1 1 -1 
-1 -1 -1 1 

34409
1 -1 -1 1 
-1 1 1 -1 
-1 1 1 -1 
-1 -1 -1 1 

34411
1 1 -1 1 
-1 1 1 -1 
-1 1 1 -1 
-1 -1 -1 1 

34413
1 -1 1 1 
-1 1 1 -1 
-1 1 1 -1 
-1 -1 -1 1 

34415
1 1 1 1 
-1 1 1 -1 
-1 1 1 -1 
-1 -1 -1 1 

34673
1 -1 -1 -1 
1 1 1 -1 
1 1 1 -1 
-1 -1 -1 1 

34675
1 1 -1 -1 
1 1 1 -1 
1 1 1 -1 
-1 -1 -1 1 

34677
1 -1 1 -1 
1 1 1 -1 
1 1 1 -1 
-1 -1 -1 1 

34679
1 1 1 -1 
1 1 1 -1 
1 1 1 -1 
-1 -1 -1 1 

34681
1 -1 -1 1 
1 1 1 -1 
1 1 1 -1 
-1 -1 -1 1 

34683
1 1 -1 1 
1 1 1 -1 
1 1 1 -1 
-1 -1 -1 1 

34685
1 -1 1 1 
1 1 1 -1 
1 1 1 -1 
-1 -1 -1 1 

34687
1 1 1 1 
1 1 1 -1 
1 1 1 -1 
-1 -1 -1 1 

38497
1 -1 -1 -1 
-1 1 1 -1 
-1 1 1 -1 
1 -1 -1 1 

38499
1 1 -1 -1 
-1 1 1 -1 
-1 1 1 -1 
1 -1 -1 1 

38501
1 -1 1 -1 
-1 1 1 -1 
-1 1 1 -1 
1 -1 -1 1 

38503
1 1 1 -1 
-1 1 1 -1 
-1 1 1 -1 
1 -1 -1 1 

38505
1 -1 -1 1 
-1 1 1 -1 
-1 1 1 -1 
1 -1 -1 1 

38507
1 1 -1 1 
-1 1 1 -1 
-1 1 1 -1 
1 -1 -1 1 

38509
1 -1 1 1 
-1 1 1 -1 
-1 1 1 -1 
1 -1 -1 1 

38511
1 1 1 1 
-1 1 1 -1 
-1 1 1 -1 
1 -1 -1 1 

