17250753
1 -1 -1 -1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250755
1 1 -1 -1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250757
1 -1 1 -1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250759
1 1 1 -1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250761
1 -1 -1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250763
1 1 -1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250765
1 -1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250767
1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250769
1 -1 -1 -1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250771
1 1 -1 -1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250773
1 -1 1 -1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250775
1 1 1 -1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250777
1 -1 -1 1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250779
1 1 -1 1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250781
1 -1 1 1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17250783
1 1 1 1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 -1 -1 -1 1 

17284577
1 -1 -1 -1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284579
1 1 -1 -1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284581
1 -1 1 -1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284583
1 1 1 -1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284585
1 -1 -1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284587
1 1 -1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284589
1 -1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284591
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284593
1 -1 -1 -1 1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284595
1 1 -1 -1 1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284597
1 -1 1 -1 1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284599
1 1 1 -1 1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284601
1 -1 -1 1 1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284603
1 1 -1 1 1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284605
1 -1 1 1 1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

17284607
1 1 1 1 1 
1 1 1 1 -1 
1 1 1 1 -1 
1 1 1 1 -1 
-1 -1 -1 -1 1 

18299329
1 -1 -1 -1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299331
1 1 -1 -1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299333
1 -1 1 -1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299335
1 1 1 -1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299337
1 -1 -1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299339
1 1 -1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299341
1 -1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299343
1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299345
1 -1 -1 -1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299347
1 1 -1 -1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299349
1 -1 1 -1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299351
1 1 1 -1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299353
1 -1 -1 1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299355
1 1 -1 1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299357
1 -1 1 1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

18299359
1 1 1 1 1 
-1 1 1 1 -1 
-1 1 1 1 -1 
-1 1 1 1 -1 
1 -1 -1 -1 1 

