5 4	0.0094
5 3	0.0123
5 2	0.0105
5 1	0.0114

4 5	0.0207
4 3	0.0288
4 2	0.0309
4 1	0.0252

3 5	0.0291
3 4	0.0389
3 2	0.0582
3 1	0.0540

2 5	0.0260
2 4	0.0403
2 3	0.0592
2 1	0.0661
