5 4 0.0391 
5 3 0.0477
5 2 0.0558
5 1 0.0641
4 5 0.0561
3 5 0.079
2 5 0.117
4 3 0.0662
4 2 0.0832
4 1 0.108
3 4 0.0938
3 2 0.122
3 1 0.159
2 4 0.135
2 3 0.160
2 1 0.273
